source_type,source_name,RA,DEC,z_hetdex,z_hetdex_conf
lae,HETDEX J012809.65-005847.2,22.04022,-0.9797696,2.2824285,0.95
lae,HETDEX J012809.65-005847.2,22.04022,-0.9797696,2.2824285,0.95
lae,HETDEX J021010.23-005846.3,32.54263,-0.97953,2.2580404,0.95
lae,HETDEX J021809.49-005845.8,34.539562,-0.979381,2.967707,0.95
lae,HETDEX J020010.53-005844.5,30.043886,-0.97903347,2.0133758,0.95
lae,HETDEX J022009.18-005842.2,35.038235,-0.978376,2.0968425,0.95
lae,HETDEX J021809.47-005841.0,34.539474,-0.978063,3.2618651,0.7087585
lae,HETDEX J021009.81-005840.6,32.54089,-0.97795105,2.9618313,0.95
lae,HETDEX J011217.42-005839.5,18.072584,-0.977638,2.833998,0.95
lae,HETDEX J003812.44-005838.8,9.551845,-0.97744,2.6961753,0.95
lae,HETDEX J022217.45-005837.9,35.572697,-0.977189,1.945337,0.95
lae,HETDEX J011026.24-005836.0,17.609339,-0.976677,2.3404047,0.95
lae,HETDEX J012810.06-005833.3,22.041914,-0.975927,3.3507385,0.108370826
lae,HETDEX J020935.52-005828.9,32.398,-0.97469,2.6594121,0.95
lae,HETDEX J021810.26-005827.3,34.542763,-0.97424,3.044311,0.95
lae,HETDEX J022011.89-005826.6,35.049557,-0.97405005,2.012413,0.95
lae,HETDEX J014209.98-005826.4,25.541565,-0.97401106,2.4942226,0.95
lae,HETDEX J021749.52-005825.7,34.456318,-0.9737939,2.6032376,0.95
lae,HETDEX J003827.13-005824.1,9.613023,-0.97337,2.3309095,0.95
lae,HETDEX J012810.34-005819.6,22.043072,-0.9721149,2.3091872,0.95
lae,HETDEX J013618.69-005808.0,24.077879,-0.968879,2.2383509,0.95
lae,HETDEX J021818.29-005801.8,34.576206,-0.967167,2.1942475,0.95
lae,HETDEX J022018.11-005752.7,35.07545,-0.96463895,2.6763291,0.95
lae,HETDEX J021949.44-005751.8,34.955982,-0.964386,2.2961862,0.95
lae,HETDEX J022134.50-005751.4,35.393757,-0.964282,2.4521027,0.95
lae,HETDEX J022134.39-005748.5,35.393272,-0.963482,2.8017514,0.95
lae,HETDEX J021708.56-005743.3,34.28568,-0.96203196,1.9662862,0.75134146
lae,HETDEX J015832.79-005738.2,29.636621,-0.96062404,2.8601148,0.95
lae,HETDEX J015831.23-005738.0,29.630108,-0.960546,2.2371905,0.95
lae,HETDEX J010949.01-005731.7,17.454195,-0.95879805,2.34182,0.95
lae,HETDEX J012728.31-005728.7,21.867971,-0.95797193,1.9501095,0.95
lae,HETDEX J021934.17-005724.2,34.89239,-0.956728,1.9538946,0.95
lae,HETDEX J021726.19-005722.4,34.359127,-0.956231,2.0921853,0.95
lae,HETDEX J015510.29-005718.5,28.792864,-0.955141,1.9411983,0.95
lae,HETDEX J015740.99-005717.2,29.420807,-0.95476395,2.413397,0.95
lae,HETDEX J015511.27-005717.0,28.796953,-0.954727,3.314889,0.13498273
lae,HETDEX J021726.82-005716.4,34.361763,-0.954568,2.6750455,0.95
lae,HETDEX J015505.55-005715.5,28.773113,-0.954304,2.1803255,0.95
lae,HETDEX J020944.01-005714.3,32.433357,-0.95396,2.5813017,0.95
lae,HETDEX J021814.49-005707.5,34.56037,-0.952077,2.4156184,0.95
lae,HETDEX J015503.54-005707.2,28.764736,-0.952009,3.014533,0.24967058
lae,HETDEX J012727.13-005707.1,21.86306,-0.951961,2.0148816,0.95
lae,HETDEX J015930.03-005704.9,29.875114,-0.951364,3.456439,0.64675176
lae,HETDEX J013614.87-005704.7,24.061956,-0.951303,3.3822117,0.5108792
lae,HETDEX J011217.64-005704.5,18.073503,-0.951248,2.7369053,0.95
lae,HETDEX J015942.46-005701.3,29.926899,-0.95037,3.369812,0.9495863
lae,HETDEX J022027.50-005701.3,35.114586,-0.950363,2.1277719,0.95
lae,HETDEX J012814.68-005655.4,22.061161,-0.948735,2.8400042,0.95
lae,HETDEX J021826.56-005646.7,34.610683,-0.9462991,2.8995526,0.95
lae,HETDEX J015506.85-005645.9,28.778553,-0.946083,1.9888065,0.95
lae,HETDEX J022207.59-005645.3,35.531628,-0.94591093,2.4173958,0.95
lae,HETDEX J022130.24-005644.8,35.376007,-0.945781,2.6799417,0.95
lae,HETDEX J021951.89-005643.7,34.966206,-0.94548106,3.0361156,0.95
lae,HETDEX J012751.86-005643.4,21.966074,-0.945387,2.5370584,0.22568218
lae,HETDEX J015954.09-005641.5,29.975376,-0.94487303,2.1123114,0.5430687
lae,HETDEX J022208.92-005634.3,35.537155,-0.9428592,2.8154025,0.95
lae,HETDEX J022208.92-005634.3,35.537155,-0.9428592,2.8154025,0.95
lae,HETDEX J012737.17-005627.8,21.904858,-0.941053,3.233379,0.92065895
lae,HETDEX J015807.51-005627.2,29.531311,-0.940894,2.2772863,0.95
lae,HETDEX J015807.10-005624.4,29.529589,-0.940109,2.7528515,0.95
lae,HETDEX J012751.62-005624.2,21.965086,-0.9400529,2.3960438,0.95
lae,HETDEX J011022.75-005623.6,17.594772,-0.93988407,2.971607,0.95
lae,HETDEX J015951.43-005621.6,29.964312,-0.939337,2.1957943,0.95
lae,HETDEX J012754.30-005620.3,21.976254,-0.938965,2.6402566,0.95
lae,HETDEX J015514.13-005619.4,28.808874,-0.938723,2.1229913,0.95
lae,HETDEX J010257.16-005618.6,15.738166,-0.938499,3.3434315,0.36101744
lae,HETDEX J003754.65-005616.9,9.477729,-0.93802893,2.0533319,0.95
lae,HETDEX J015513.93-005614.2,28.808062,-0.937276,3.0210667,0.95
lae,HETDEX J010256.81-005614.1,15.736706,-0.937259,3.3452582,0.24293151
lae,HETDEX J021657.05-005614.0,34.237713,-0.9372271,2.8139787,0.95
lae,HETDEX J021658.53-005610.7,34.243885,-0.93630695,2.1934655,0.95
